Date,Open,High,Low,Close,Volume
2025-09-02,54.64,54.82,53.53,54.23,2996069
2025-09-01,54.71,55.53,54.20,54.64,723311
2025-08-29,55.44,56.06,54.05,54.71,229863
2025-08-28,56.17,56.94,55.29,55.44,1391702
2025-08-27,55.94,56.77,55.36,56.17,308463
2025-08-26,57.08,57.84,55.41,55.94,2299575
2025-08-25,57.33,57.44,56.61,57.08,2115574
2025-08-22,56.49,58.00,56.09,57.33,337736
2025-08-21,57.71,58.37,55.71,56.49,1332151
2025-08-20,57.55,58.00,57.34,57.71,1024471
2025-08-19,58.27,58.62,57.37,57.55,1210670
2025-08-18,58.37,58.68,58.00,58.27,192406
2025-08-15,57.67,59.11,57.61,58.37,1546073
2025-08-14,57.41,58.14,56.87,57.67,2052258
2025-08-13,57.64,58.06,56.93,57.41,926095
2025-08-12,58.29,59.14,56.88,57.64,652498
2025-08-11,58.47,59.24,58.11,58.29,2518528
2025-08-08,57.95,59.14,57.70,58.47,736704
2025-08-07,57.58,58.33,56.85,57.95,1658601
2025-08-06,57.99,58.42,56.73,57.58,1915273
2025-08-05,57.99,58.74,57.48,57.99,2947045
2025-08-04,57.58,58.28,56.97,57.99,523733
2025-08-01,57.18,57.73,56.99,57.58,2435302
2025-07-31,58.02,58.78,56.64,57.18,2078268
2025-07-30,57.56,58.10,56.89,58.02,2820431
2025-07-29,58.13,58.61,57.49,57.56,299940
2025-07-28,58.94,59.66,58.01,58.13,2754387
2025-07-25,59.50,59.71,58.77,58.94,650074
2025-07-24,59.22,60.19,58.57,59.50,2479967
2025-07-23,58.50,59.95,58.44,59.22,1447820
2025-07-22,58.40,59.04,57.77,58.50,2466633
2025-07-21,58.38,58.54,57.69,58.40,1432727
2025-07-18,58.49,59.16,57.64,58.38,2219650
2025-07-17,58.03,58.96,57.42,58.49,2385354
2025-07-16,57.74,58.81,57.35,58.03,1229388
2025-07-15,57.79,58.52,56.97,57.74,1860752
2025-07-14,57.48,57.99,57.35,57.79,2912308
2025-07-11,59.16,59.83,57.08,57.48,2423089
2025-07-10,59.64,59.98,58.77,59.16,2498338
2025-07-09,60.20,60.71,58.91,59.64,2497375
2025-07-08,59.98,60.60,59.21,60.20,1593099
2025-07-07,58.93,60.66,58.82,59.98,1018768
2025-07-04,59.22,60.09,58.52,58.93,2004028
2025-07-03,59.53,59.99,58.46,59.22,647928
2025-07-02,59.39,60.20,58.86,59.53,581746
2025-07-01,58.72,59.82,57.92,59.39,2040122
2025-06-30,58.60,59.43,57.97,58.72,863529
2025-06-27,59.21,59.90,58.10,58.60,1781192
2025-06-26,59.42,59.76,58.97,59.21,275532
2025-06-25,59.86,60.72,58.59,59.42,2945887
2025-06-24,60.85,61.65,59.15,59.86,684418
2025-06-23,59.43,61.64,58.58,60.85,2341774
2025-06-20,58.77,59.73,58.59,59.43,1028284
2025-06-19,59.61,60.20,57.96,58.77,2031585
2025-06-18,60.43,60.55,59.18,59.61,923430
2025-06-17,60.06,60.91,59.72,60.43,129362
2025-06-16,59.49,60.39,59.08,60.06,926946
2025-06-13,59.48,59.78,58.69,59.49,501928
2025-06-12,58.56,59.77,57.80,59.48,1499551
2025-06-11,58.24,59.19,57.44,58.56,2844387
2025-06-10,58.96,59.56,57.91,58.24,1366898
2025-06-09,58.69,59.13,57.91,58.96,1089152
2025-06-06,58.76,58.86,58.18,58.69,444551
2025-06-05,58.20,59.03,57.94,58.76,1231336
2025-06-04,59.26,59.48,57.65,58.20,1729151
2025-06-03,59.45,59.60,58.86,59.26,1960354
2025-06-02,59.25,60.19,58.52,59.45,659329
2025-05-30,59.09,59.94,59.01,59.25,2619542
2025-05-29,59.16,60.04,58.21,59.09,207040
2025-05-28,59.71,59.79,58.90,59.16,1599626
2025-05-27,58.97,59.92,58.10,59.71,159464
2025-05-26,58.32,59.11,58.19,58.97,308594
2025-05-23,58.41,59.27,57.81,58.32,438533
2025-05-22,59.39,59.47,58.30,58.41,2802951
2025-05-21,60.82,61.66,59.21,59.39,270745
2025-05-20,61.23,61.41,60.07,60.82,924599
2025-05-19,61.50,61.92,60.49,61.23,1649482
2025-05-16,61.42,62.18,61.24,61.50,2745408
2025-05-15,60.79,62.08,60.39,61.42,2741101
2025-05-14,60.86,61.02,60.30,60.79,661197
2025-05-13,60.68,61.46,60.42,60.86,2803206
2025-05-12,61.38,61.46,60.40,60.68,1838971
2025-05-09,61.35,62.24,61.21,61.38,2571901
2025-05-08,62.07,62.47,60.59,61.35,1554851
2025-05-07,62.72,63.09,61.46,62.07,354773
2025-05-06,63.71,64.35,62.51,62.72,467035
2025-05-05,63.48,64.49,62.69,63.71,2439906
2025-05-02,63.15,64.35,62.36,63.48,720853
2025-05-01,63.63,64.55,63.08,63.15,2012596
2025-04-30,63.49,63.97,62.65,63.63,2417300
2025-04-29,63.71,64.66,63.10,63.49,1135580
2025-04-28,64.23,65.11,63.55,63.71,831243
2025-04-25,63.75,64.61,63.47,64.23,2348195
2025-04-24,62.70,64.01,62.55,63.75,2372166
2025-04-23,63.31,63.60,62.03,62.70,1543966
2025-04-22,63.49,64.06,62.46,63.31,239386
2025-04-21,63.16,64.08,62.68,63.49,1148533
2025-04-18,63.74,63.89,63.08,63.16,2376645
2025-04-17,64.33,64.89,63.40,63.74,1657073
2025-04-16,64.25,65.28,63.66,64.33,2482923
2025-04-15,64.49,65.23,64.08,64.25,696247
2025-04-14,64.00,64.95,63.25,64.49,1012411
2025-04-11,63.71,64.83,63.43,64.00,267214
2025-04-10,63.52,64.45,62.77,63.71,1726257
2025-04-09,63.66,64.15,63.33,63.52,221524
2025-04-08,64.01,64.62,62.93,63.66,1589298
2025-04-07,64.01,64.85,63.45,64.01,2638238
2025-04-04,63.91,64.41,63.41,64.01,2836497
2025-04-03,64.34,64.95,63.09,63.91,1864542
2025-04-02,63.85,65.21,63.07,64.34,2368865
2025-04-01,64.71,64.92,63.23,63.85,1488069
2025-03-31,64.53,65.44,63.70,64.71,2171102
2025-03-28,64.64,64.70,64.03,64.53,2627157
2025-03-27,65.24,65.90,63.83,64.64,2657106
2025-03-26,65.99,66.75,64.50,65.24,2067868
2025-03-25,64.92,66.81,64.64,65.99,2661295
2025-03-24,65.58,65.72,64.16,64.92,897736
2025-03-21,65.94,66.74,65.29,65.58,2262688
2025-03-20,66.44,67.26,64.97,65.94,1101495
2025-03-19,66.38,66.72,65.74,66.44,1497431
2025-03-18,65.38,66.94,64.77,66.38,2366475
2025-03-17,65.71,66.14,64.77,65.38,1640868
2025-03-14,65.57,66.18,65.02,65.71,2011363
2025-03-13,66.74,67.38,65.10,65.57,2985025
2025-03-12,66.77,67.63,66.55,66.74,395309
2025-03-11,66.70,67.70,66.12,66.77,1972327
2025-03-10,67.31,67.56,66.54,66.70,2472835
2025-03-07,68.67,69.09,67.10,67.31,2156335
2025-03-06,68.28,69.00,68.13,68.67,2185231
2025-03-05,68.34,68.53,67.66,68.28,2285460
2025-03-04,68.31,69.33,67.50,68.34,2628695
2025-03-03,70.54,70.98,67.45,68.31,1217856
2025-02-28,70.27,70.68,69.58,70.54,297071
2025-02-27,71.80,71.99,69.65,70.27,872312
2025-02-26,71.51,72.71,70.87,71.80,2535491
2025-02-25,70.19,71.93,69.84,71.51,1416364
2025-02-24,70.15,71.21,69.86,70.19,2922056
2025-02-21,71.01,71.55,69.72,70.15,454198
2025-02-20,71.09,71.79,70.82,71.01,1121181
2025-02-19,70.68,71.91,70.56,71.09,2454739
2025-02-18,69.32,71.29,68.48,70.68,2503757
2025-02-17,68.39,69.97,67.76,69.32,1731951
2025-02-14,68.62,69.26,68.07,68.39,2585476
2025-02-13,68.49,68.99,67.73,68.62,1586341
2025-02-12,68.76,69.06,67.62,68.49,2848718
2025-02-11,69.35,69.53,68.01,68.76,1747072
2025-02-10,70.50,71.49,68.64,69.35,2578129
2025-02-07,70.96,71.17,70.10,70.50,314897
2025-02-06,70.08,71.45,69.71,70.96,2637366
2025-02-05,70.18,70.29,69.06,70.08,372938
2025-02-04,70.43,70.55,70.07,70.18,2153125
2025-02-03,70.62,70.91,69.44,70.43,703596
2025-01-31,70.10,71.05,69.73,70.62,1674077
2025-01-30,70.20,70.75,69.81,70.10,1130273
2025-01-29,70.67,71.59,69.26,70.20,1945099
2025-01-28,71.64,72.34,70.33,70.67,1529344
2025-01-27,71.17,71.96,70.40,71.64,1826333
2025-01-24,70.74,72.05,69.72,71.17,1425266
2025-01-23,71.50,71.95,70.23,70.74,583737
2025-01-22,71.17,72.52,70.98,71.50,1037600
2025-01-21,71.44,72.39,70.85,71.17,1915649
2025-01-20,71.37,71.56,70.80,71.44,1318225
2025-01-17,70.06,72.04,69.99,71.37,979010
2025-01-16,70.44,70.52,69.84,70.06,1749586
2025-01-15,71.07,71.96,70.20,70.44,1935506
